gene_symbol_DLV,gene_symbol_original,gene_name,aeid,aenm,signal_direction,analysis_direction,assay_component_endpoint_desc,gene_direction
PLAUR,PLAUR,"plasminogen activator, urokinase receptor",165,BSK_3C_uPAR_down,loss,negative,"Data from the assay component BSK_3C_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_3C_uPAR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",Activation
PLAUR,PLAUR,"plasminogen activator, urokinase receptor",166,BSK_3C_uPAR_up,gain,positive,"Data from the assay component BSK_3C_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_3C_uPAR_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",Activation
VCAM1,VCAM1,vascular cell adhesion molecule 1,167,BSK_3C_VCAM1_down,loss,negative,"Data from the assay component BSK_3C_VCAM1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_3C_VCAM1_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene VCAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""Immunoglobulin CAM"".",Activation
VCAM1,VCAM1,vascular cell adhesion molecule 1,168,BSK_3C_VCAM1_up,gain,positive,"Data from the assay component BSK_3C_VCAM1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_3C_VCAM1_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene VCAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""Immunoglobulin CAM"".",Activation
CCL26,CCL26,chemokine (C-C motif) ligand 26,171,BSK_4H_Eotaxin3_down,loss,negative,"Data from the assay component BSK_4H_Eotaxin3 was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_Eotaxin3_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CCL26. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
CCL26,CCL26,chemokine (C-C motif) ligand 26,172,BSK_4H_Eotaxin3_up,gain,positive,"Data from the assay component BSK_4H_Eotaxin3 was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_Eotaxin3_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene CCL26. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
CCL2,CCL2,chemokine (C-C motif) ligand 2,173,BSK_4H_MCP1_down,loss,negative,"Data from the assay component BSK_4H_MCP1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_MCP1_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CCL2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
CCL2,CCL2,chemokine (C-C motif) ligand 2,174,BSK_4H_MCP1_up,gain,positive,"Data from the assay component BSK_4H_MCP1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_MCP1_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene CCL2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
SELP,SELP,"selectin P (granule membrane protein 140kDa, antigen CD62)",175,BSK_4H_Pselectin_down,loss,negative,"Data from the assay component BSK_4H_Pselectin was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_Pselectin_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene SELP. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""selectins"".",Activation
SELP,SELP,"selectin P (granule membrane protein 140kDa, antigen CD62)",176,BSK_4H_Pselectin_up,gain,positive,"Data from the assay component BSK_4H_Pselectin was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_Pselectin_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene SELP. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""selectins"".",Activation
PLAUR,PLAUR,"plasminogen activator, urokinase receptor",179,BSK_4H_uPAR_down,loss,negative,"Data from the assay component BSK_4H_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_uPAR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",Activation
PLAUR,PLAUR,"plasminogen activator, urokinase receptor",180,BSK_4H_uPAR_up,gain,positive,"Data from the assay component BSK_4H_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_uPAR_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",Activation
VCAM1,VCAM1,vascular cell adhesion molecule 1,181,BSK_4H_VCAM1_down,loss,negative,"Data from the assay component BSK_4H_VCAM1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_VCAM1_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene VCAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""Immunoglobulin CAM"".",Activation
VCAM1,VCAM1,vascular cell adhesion molecule 1,182,BSK_4H_VCAM1_up,gain,positive,"Data from the assay component BSK_4H_VCAM1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_VCAM1_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene VCAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""Immunoglobulin CAM"".",Activation
KDR,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),183,BSK_4H_VEGFRII_down,loss,negative,"Data from the assay component BSK_4H_VEGFRII was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_VEGFRII_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene KDR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"".",Activation
KDR,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),184,BSK_4H_VEGFRII_up,gain,positive,"Data from the assay component BSK_4H_VEGFRII was analyzed into 2 assay endpoints. This assay endpoint, BSK_4H_VEGFRII_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene KDR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"".",Activation
HLA-DRA,HLA-DRA,"major histocompatibility complex, class II, DR alpha",185,BSK_BE3C_HLADR_down,loss,negative,"Data from the assay component BSK_BE3C_HLADR was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_HLADR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene HLA-DRA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""MHC Class II"".",Activation
HLA-DRA,HLA-DRA,"major histocompatibility complex, class II, DR alpha",186,BSK_BE3C_HLADR_up,gain,positive,"Data from the assay component BSK_BE3C_HLADR was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_HLADR_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene HLA-DRA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""MHC Class II"".",Activation
IL1A,IL1A,"interleukin 1, alpha",187,BSK_BE3C_IL1a_down,loss,negative,"Data from the assay component BSK_BE3C_IL1a was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_IL1a_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene IL1A. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",Activation
IL1A,IL1A,"interleukin 1, alpha",188,BSK_BE3C_IL1a_up,gain,positive,"Data from the assay component BSK_BE3C_IL1a was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_IL1a_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene IL1A. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",Activation
CXCL10,CXCL10,chemokine (C-X-C motif) ligand 10,189,BSK_BE3C_IP10_down,loss,negative,"Data from the assay component BSK_BE3C_IP10 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_IP10_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL10. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
CXCL10,CXCL10,chemokine (C-X-C motif) ligand 10,190,BSK_BE3C_IP10_up,gain,positive,"Data from the assay component BSK_BE3C_IP10 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_IP10_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL10. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
CXCL9,CXCL9,chemokine (C-X-C motif) ligand 9,191,BSK_BE3C_MIG_down,loss,negative,"Data from the assay component BSK_BE3C_MIG was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_MIG_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL9. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
CXCL9,CXCL9,chemokine (C-X-C motif) ligand 9,192,BSK_BE3C_MIG_up,gain,positive,"Data from the assay component BSK_BE3C_MIG was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_MIG_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL9. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""chemotactic factor"".",Activation
MMP1,MMP1,matrix metallopeptidase 1 (interstitial collagenase),193,BSK_BE3C_MMP1_down,loss,negative,"Data from the assay component BSK_BE3C_MMP1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_MMP1_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene MMP1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""protease"" intended target family, where the subfamily is ""matrix metalloproteinase"".",Activation
MMP1,MMP1,matrix metallopeptidase 1 (interstitial collagenase),194,BSK_BE3C_MMP1_up,gain,positive,"Data from the assay component BSK_BE3C_MMP1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_MMP1_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene MMP1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""protease"" intended target family, where the subfamily is ""matrix metalloproteinase"".",Activation
SERPINE1,SERPINE1,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",195,BSK_BE3C_PAI1_down,loss,negative,"Data from the assay component BSK_BE3C_PAI1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_PAI1_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene SERPINE1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator inhibitor"".",Activation
SERPINE1,SERPINE1,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",196,BSK_BE3C_PAI1_up,gain,positive,"Data from the assay component BSK_BE3C_PAI1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_PAI1_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene SERPINE1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator inhibitor"".",Activation
TGFB1,TGFB1,"transforming growth factor, beta 1",199,BSK_BE3C_TGFb1_down,loss,negative,"Data from the assay component BSK_BE3C_TGFb1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_TGFb1_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene TGFB1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""growth factor"" intended target family, where the subfamily is ""transforming growth factor beta"".",Activation
TGFB1,TGFB1,"transforming growth factor, beta 1",200,BSK_BE3C_TGFb1_up,gain,positive,"Data from the assay component BSK_BE3C_TGFb1 was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_TGFb1_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene TGFB1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""growth factor"" intended target family, where the subfamily is ""transforming growth factor beta"".",Activation
PLAT,PLAT,"plasminogen activator, tissue",201,BSK_BE3C_tPA_down,loss,negative,"Data from the assay component BSK_BE3C_tPA was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_tPA_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAT. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""protease"" intended target family, where the subfamily is ""serine protease"".",Activation
PLAT,PLAT,"plasminogen activator, tissue",202,BSK_BE3C_tPA_up,gain,positive,"Data from the assay component BSK_BE3C_tPA was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_tPA_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAT. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""protease"" intended target family, where the subfamily is ""serine protease"".",Activation
PLAU,PLAU,"plasminogen activator, urokinase",203,BSK_BE3C_uPA_down,loss,negative,"Data from the assay component BSK_BE3C_uPA was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_uPA_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAU. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""protease"" intended target family, where the subfamily is ""serine protease"".",Activation
PLAU,PLAU,"plasminogen activator, urokinase",204,BSK_BE3C_uPA_up,gain,positive,"Data from the assay component BSK_BE3C_uPA was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_uPA_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAU. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""protease"" intended target family, where the subfamily is ""serine protease"".",Activation
PLAUR,PLAUR,"plasminogen activator, urokinase receptor",205,BSK_BE3C_uPAR_down,loss,negative,"Data from the assay component BSK_BE3C_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_uPAR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",Activation
PLAUR,PLAUR,"plasminogen activator, urokinase receptor",206,BSK_BE3C_uPAR_up,gain,positive,"Data from the assay component BSK_BE3C_uPAR was analyzed into 2 assay endpoints. This assay endpoint, BSK_BE3C_uPAR_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""plasmogen activator"".",Activation
HLA-DRA,HLA-DRA,"major histocompatibility complex, class II, DR alpha",207,BSK_CASM3C_HLADR_down,loss,negative,"Data from the assay component BSK_CASM3C_HLADR was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_HLADR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene HLA-DRA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""MHC Class II"".",Activation
HLA-DRA,HLA-DRA,"major histocompatibility complex, class II, DR alpha",208,BSK_CASM3C_HLADR_up,gain,positive,"Data from the assay component BSK_CASM3C_HLADR was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_HLADR_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene HLA-DRA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cell adhesion molecules"" intended target family, where the subfamily is ""MHC Class II"".",Activation
IL6,IL6,interleukin 6,209,BSK_CASM3C_IL6_down,loss,negative,"Data from the assay component BSK_CASM3C_IL6 was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_IL6_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene IL6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",Activation
IL6,IL6,interleukin 6,210,BSK_CASM3C_IL6_up,gain,positive,"Data from the assay component BSK_CASM3C_IL6 was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_IL6_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene IL6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",Activation
CXCL8,CXCL8,chemokine (C-X-C motif) ligand 8,211,BSK_CASM3C_IL8_down,loss,negative,"Data from the assay component BSK_CASM3C_IL8 was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_IL8_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL8. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",Activation
CXCL8,CXCL8,chemokine (C-X-C motif) ligand 8,212,BSK_CASM3C_IL8_up,gain,positive,"Data from the assay component BSK_CASM3C_IL8 was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_IL8_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL8. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""cytokine"" intended target family, where the subfamily is ""interleukins"".",Activation
LDLR,LDLR,low density lipoprotein receptor,213,BSK_CASM3C_LDLR_down,loss,negative,"Data from the assay component BSK_CASM3C_LDLR was analyzed into 2 assay endpoints. This assay endpoint, BSK_CASM3C_LDLR_down, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene LDLR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""misc protein"" intended target family, where the subfamily is ""LDL receptor"".",Activation
